"technology","Material","value"
"a-Si","Silicon",150
"a-Si","Germanium",48
"a-Si","Germanium",73
"a-Si","Cadmium",6.61
"a-Si","Chromium",634
"a-Si","Indium",13.41
"a-Si","Molybdenum",10.62
"a-Si","Nickel",334
"a-Si","Tellurium",7.8
"a-Si","Tin",143.21
"a-Si","Copper",100.5
"a-Si","Germanium",73
"a-Si","Germanium",73
"a-Si","Germanium",42
"a-Si","Germanium",42
"a-Si","Copper",1005
"a-Si","Indium",5.32
"a-Si","Indium",5.32
"a-Si","Tin",0.714
"a-Si","Germanium",73
"a-Si","Germanium",36
"a-Si","Germanium",41
"a-Si","Germanium",48
"a-Si","Germanium",6.9
"a-Si","Germanium",42
"a-Si","Germanium",3.4
"a-Si","Germanium",6.9
"a-Si","Germanium",14.8
"a-Si","Indium",4
"a-Si","Germanium",73
"ASIGE","Copper",7000
"ASIGE","Aluminum",31300
"ASIGE","Glass",53400
"ASIGE","Steel",56000
"ASIGE","Glass",70000
"ASIGE","Copper",7000
"ASIGE","Cement",4847
"ASIGE","Cement",7520
"ASIGE","Aluminum",15390
"ASIGE","Steel",55900
"ASIGE","Copper",7530
"ASIGE","Cement",6775
"ASIGE","Cement",10512
"ASIGE","Aluminum",15390
"ASIGE","Glass",66700
"Biomass","Nickel",8
"Biomass","Manganese ",199
"Biomass","Copper",471
"Biomass","Nickel",11
"Biomass","Manganese ",124
"Biomass","Copper",500
"Biomass","Copper",538
"Biomass","Steel",52000
"Biomass","Cement",16397
"Biomass","Cement",25440
"Biomass","Aluminum",1300
"Biomass","Nickel",10
"Biomass","Manganese ",112
"Biomass","Copper",454
"BiomassCCS","Nickel",8
"BiomassCCS","Manganese ",199
"BiomassCCS","Nickel",11
"BiomassCCS","Manganese ",124
"BiomassCCS","Copper",600
"BiomassCCS","Copper",645
"BiomassCCS","Steel",79560
"BiomassCCS","Cement",25087
"BiomassCCS","Cement",38923
"BiomassCCS","Aluminum",1300
"BiomassCCS","Nickel",10
"BiomassCCS","Manganese ",112
"BiomassCCS","Copper",545
"CDTE","Copper",7000
"CDTE","Aluminum",31300
"CdTe","Cadmium",35
"CdTe","Cadmium",50
"CdTe","Cadmium",85
"CdTe","Tellurium",35
"CdTe","Tellurium",95
"CdTe","Tellurium",52
"CdTe","Cadmium",138
"CdTe","Tellurium",156
"CdTe","Cadmium",85
"CdTe","Tellurium",97.5
"CdTe","Tellurium",97.5
"CdTe","Cadmium",85
"CdTe","Cadmium",244.26
"CdTe","Chromium",61
"CdTe","Lead",7.8
"CdTe","Molybdenum",0.5
"CdTe","Tellurium",242.87
"CdTe","Copper",518.07
"CDTE","Glass",53400
"CdTe","Tellurium",176
"CdTe","Tellurium",106
"CdTe","Tellurium",55
"CdTe","Tellurium",56
"CDTE","Steel",56000
"CDTE","Glass",70000
"CDTE","Copper",7000
"CDTE","Cement",4847
"CDTE","Cement",7520
"CDTE","Aluminum",15390
"CdTe","Cadmium",80
"CdTe","Cadmium",17
"CdTe","Cadmium",62
"CdTe","Cadmium",138
"CdTe","Tellurium",90
"CdTe","Tellurium",19
"CdTe","Tellurium",70
"CdTe","Tellurium",156
"CdTe","Copper",5181
"CdTe","Tellurium",70
"CdTe","Tellurium",130
"CDTE","Steel",55900
"CDTE","Copper",7530
"CDTE","Cement",6775
"CDTE","Cement",10512
"CDTE","Aluminum",15390
"CdTe","Tellurium",69
"CdTe","Tellurium",97.5
"CdTe","Cadmium",79
"CdTe","Cadmium",89
"CdTe","Cadmium",116
"CdTe","Tellurium",89
"CdTe","Tellurium",101
"CdTe","Tellurium",132
"CdTe","Cadmium",21
"CdTe","Cadmium",36
"CdTe","Cadmium",77
"CdTe","Tellurium",23
"CdTe","Tellurium",41
"CdTe","Tellurium",87
"CdTe","Tellurium",260
"CdTe","Tellurium",500
"CdTe","Tellurium",120
"CDTE","Glass",66700
"CdTe","Cadmium",138
"CdTe","Cadmium",17
"CdTe","Cadmium",138
"CdTe","Tellurium",156
"CdTe","Tellurium",19
"CdTe","Tellurium",156
"CdTe","Cadmium",63.3
"CdTe","Tellurium",55
"CdTe","Cadmium",85
"CdTe","Copper",42.8
"CdTe","Tellurium",97.5
"CdTe","Cadmium",49.2
"CdTe","Molybdenum",100.5
"CdTe","Tellurium",47.2
"CdTe","Tin",6.6
"CdTe","Cadmium",63.3
"CdTe","Indium",15.9
"CdTe","Tellurium",61.9
"CdTe","Cadmium",65.2
"CdTe","Tellurium",65.4
"CdTe","Indium",15.5
"CdTe","Tellurium",99.7
"CdTe","Cadmium",116.7
"CdTe","Cadmium",63.8
"CdTe","Indium",15.5
"CdTe","Tellurium",43.1
"CdTe","Cadmium",63
"CdTe","Tellurium",63
"CdTe","Cadmium",85
"CdTe","Tellurium",98
"CdTe","Tellurium",17
"CdTe","Tellurium",74
"CdTe","Tellurium",106
"CdTe","Tellurium",69
"CdTe","Cadmium",6
"CdTe","Copper",1000
"CdTe","Copper",5181
"CdTe","Cadmium",138
"CdTe","Cadmium",62
"CdTe","Cadmium",17
"CdTe","Lead",8
"CdTe","Molybdenum",109
"CdTe","Tellurium",19
"CdTe","Tellurium",70
"CdTe","Tellurium",156
"CdTe","Tellurium",243
"CdTe","Tellurium",98
"CdTe","Cadmium",84
"CdTe","Tellurium",90
"CdTe","Cadmium",244
"CdTe","Cadmium",87
"CdTe","Copper",3091
"CdTe","Nickel",16
"CdTe","Tellurium",92
"CdTe","Cadmium",85
"CdTe","Tellurium",97.5
"CdTe","Cadmium",63
"CdTe","Tellurium",47
"CdTe","Cadmium",53
"CdTe","Tellurium",41
"CdTe","Cadmium",40
"CdTe","Tellurium",34
"CIGS","Copper",7000
"CIGS","Aluminum",31300
"CIGS","Copper",20
"CIGS","Copper",22
"CIGS","Copper",24
"CIGS","Indium",10
"CIGS","Indium",15
"CIGS","Indium",27
"CIGS","Gallium",3
"CIGS","Gallium",4
"CIGS","Gallium",7
"CIGS","Selenium",22
"CIGS","Selenium",35
"CIGS","Selenium",60
"CIGS","Gallium",9
"CIGS","Indium",28
"CIGS","Selenium",161
"CIGS","Indium",6.3
"CIGS","Indium",8
"CIGS","Indium",11
"CIGS","Gallium",7.5
"CIGS","Indium",23
"CIGS","Selenium",45
"CIGS","Gallium",7.5
"CIGS","Gallium",2.34
"CIGS","Selenium",45
"CIGS","Selenium",9.56
"CIGS","Indium",22.5
"CIGS","Indium",18.99
"CIGS","Cadmium",265
"CIGS","Gallium",124
"CIGS","Indium",55
"CIGS","Molybdenum",109
"CIGS","Selenium",110
"CIGS","Zinc",121
"CIGS","Copper",450
"CIGS","Glass",53400
"CIGS","Indium",83
"CIGS","Indium",83
"CIGS","Indium",15.5
"CIGS","Indium",15.5
"CIGS","Indium",44155
"CIGS","Gallium",12
"CIGS","Gallium",6.7
"CIGS","Indium",63.25
"CIGS","Indium",16.3
"CIGS","Steel",56000
"CIGS","Glass",70000
"CIGS","Copper",7000
"CIGS","Cement",4847
"CIGS","Cement",7520
"CIGS","Aluminum",15390
"CIGS","Gallium",2
"CIGS","Gallium",4
"CIGS","Gallium",9
"CIGS","Indium",20
"CIGS","Indium",28
"CIGS","Indium",13
"CIGS","Indium",7
"CIGS","Selenium",90
"CIGS","Selenium",17
"CIGS","Selenium",41
"CIGS","Selenium",161
"CIGS","Copper",450
"CIGS","Gallium",4
"CIGS","Indium",13
"CIGS","Steel",55900
"CIGS","Copper",7530
"CIGS","Cement",6775
"CIGS","Cement",10512
"CIGS","Aluminum",15390
"CIGS","Indium",83
"CIGS","Indium",22.5
"CIGS","Copper",250
"CIGS","Indium",44155
"CIGS","Copper",21.02
"CIGS","Gadium",2.34
"CIGS","Indium",18.99
"CIGS","Indium",9.56
"CIGS","Gallium",6
"CIGS","Gallium",8
"CIGS","Gallium",11
"CIGS","Indium",23
"CIGS","Indium",29
"CIGS","Indium",43
"CIGS","Selenium",48
"CIGS","Selenium",67
"CIGS","Selenium",107
"CIGS","Gallium",2
"CIGS","Gallium",3
"CIGS","Gallium",6
"CIGS","Indium",8
"CIGS","Indium",12
"CIGS","Indium",22
"CIGS","Selenium",15
"CIGS","Selenium",26
"CIGS","Selenium",51
"CIGS","Glass",66700
"CIGS","Indium",25
"CIGS","Indium",30
"CIGS","Indium",40
"CIGS","Indium",24.1
"CIGS","Indium",29
"CIGS","Indium",39.1
"CIGS","Indium",22.6
"CIGS","Indium",27.5
"CIGS","Indium",37.6
"CIGS","Indium",19.6
"CIGS","Indium",24.4
"CIGS","Indium",34.6
"CIGS","Indium",15
"CIGS","Indium",19.5
"CIGS","Indium",30
"CIGS","Gallium",9
"CIGS","Gallium",2
"CIGS","Gallium",9
"CIGS","Indium",28
"CIGS","Indium",7
"CIGS","Indium",28
"CIGS","Selenium",161
"CIGS","Selenium",17
"CIGS","Selenium",161
"CIGS","Gallium",7.2
"CIGS","Indium",55.5
"CIGS","Cadmium",1.3
"CIGS","Selenium",39.3
"CIGS","Cadmium",1.3
"CIGS","Gallium",3.2
"CIGS","Indium",45
"CIGS","Selenium",17.4
"CIGS","Gadium",11
"CIGS","Gadium",10
"CIGS","Indium",13
"CIGS","Gallium",5
"CIGS","Indium",27
"CIGS","Selenium",45
"CIGS","Gallium",8
"CIGS","Indium",23
"CIGS","Selenium",45
"CIGS","Gallium",12
"CIGS","Gallium",29
"CIGS","Indium",15
"CIGS","Indium",23
"CIGS","Gallium",8
"CIGS","Indium",83
"CIGS","Indium",23
"CIGS","Gallium",0.12
"CIGS","Indium",5
"CIGS","Indium",23
"CIGS","Indium",28
"CIGS","Indium",38
"CIGS","Gallium",2
"CIGS","Gallium",4
"CIGS","Gallium",9
"CIGS","Gallium",124
"CIGS","Indium",7
"CIGS","Indium",13
"CIGS","Indium",28
"CIGS","Indium",55
"CIGS","Molybdenum",1
"CIGS","Selenium",17
"CIGS","Selenium",41
"CIGS","Selenium",161
"CIGS","Selenium",110
"CIGS","Indium",23
"CIGS","Selenium",45
"CIGS","Copper",17
"CIGS","Copper",450
"CIGS","Gallium",6
"CIGS","Indium",84
"CIGS","Selenium",84
"CIGS","Copper",233
"CIGS","Gallium",19
"CIGS","Indium",31
"CIGS","Selenium",61
"CIGS","Gallium",7.5
"CIGS","Indium",23
"CIGS","Selenium",45
"CIGS","Indium",23
"CIGS","Gallium",5
"CIGS","Selenium",45
"CIGS","Indium",12
"CIGS","Gallium",3
"CIGS","Selenium",26
"CIGS","Indium",10
"CIGS","Gallium",2.7
"CIGS","Selenium",22
"Coal","Nickel",8
"Coal","Manganese ",199
"Coal","Copper",471
"Coal","Cement",10572
"Coal","Cement",16403
"Coal","Steel",44425
"Coal","Nickel",11
"Coal","Manganese ",124
"Coal","Copper",500
"Coal","Copper",538
"Coal","Cement",4668
"Coal","Cement",6749
"Coal","Cement",11315
"Coal","Cement",16361
"Coal","Aluminum",281
"Coal","Steel",51340
"Coal","Cement",16372
"Coal","Cement",25401
"Coal","Aluminum",419
"Coal","Steel",62200
"Coal","Cement",18389
"Coal","Cement",28531
"Coal","Aluminum",624
"Coal","Nickel",10
"Coal","Manganese ",112
"Coal","Copper",454
"Coal","Cement",7658
"Coal","Cement",11881
"Coal","Aluminum",255
"CoalCCS","Nickel",8
"CoalCCS","Manganese ",199
"CoalCCS","Copper",565
"CoalCCS","Cement",16175
"CoalCCS","Cement",25096
"CoalCCS","Steel",67695
"CoalCCS","Nickel",11
"CoalCCS","Manganese ",124
"CoalCCS","Copper",600
"CoalCCS","Copper",645
"CoalCCS","Cement",7141
"CoalCCS","Cement",10326
"CoalCCS","Cement",17313
"CoalCCS","Cement",25033
"CoalCCS","Aluminum",281
"CoalCCS","Steel",78550
"CoalCCS","Cement",25049
"CoalCCS","Cement",38864
"CoalCCS","Aluminum",419
"CoalCCS","Steel",95166
"CoalCCS","Cement",9814
"CoalCCS","Cement",43653
"CoalCCS","Aluminum",624
"CoalCCS","Steel",61648
"CoalCCS","Nickel",10
"CoalCCS","Manganese ",112
"CoalCCS","Copper",545
"CoalCCS","Cement",11716
"CoalCCS","Cement",18178
"CoalCCS","Aluminum",255
"utility-scale solar pv","Copper",7000
"utility-scale solar pv","Aluminum",38500
"utility-scale solar pv","Silicon",4
"utility-scale solar pv","Silver",20
"utility-scale solar pv","Silver",35.6
"utility-scale solar pv","Silicon",6629
"utility-scale solar pv","Silver",11
"utility-scale solar pv","Silver",80
"utility-scale solar pv","Lead",5.53
"utility-scale solar pv","Lead",6.32
"utility-scale solar pv","Nickel",1.3
"utility-scale solar pv","Silver",59
"utility-scale solar pv","Silver",68.17
"utility-scale solar pv","Copper",825
"utility-scale solar pv","Copper",943
"utility-scale solar pv","Silicon",2930
"utility-scale solar pv","Silicon",3450
"utility-scale solar pv","Glass",53400
"utility-scale solar pv","Steel",56000
"utility-scale solar pv","Silicon",7000
"utility-scale solar pv","Glass",70000
"utility-scale solar pv","Copper",7000
"utility-scale solar pv","Cement",4847
"utility-scale solar pv","Cement",7520
"utility-scale solar pv","Aluminum",19000
"utility-scale solar pv","Cement",6497
"utility-scale solar pv","Cement",10080
"utility-scale solar pv","Silicon",3347
"utility-scale solar pv","Silicon",638
"utility-scale solar pv","Silicon",2882
"utility-scale solar pv","Silicon",6629
"utility-scale solar pv","Silver",54.8125
"utility-scale solar pv","Silver",38.36875
"utility-scale solar pv","Silver",32.53125
"utility-scale solar pv","Silver",29.45625
"utility-scale solar pv","Silver",10
"utility-scale solar pv","Copper",884
"utility-scale solar pv","Steel",55900
"utility-scale solar pv","Copper",7530
"utility-scale solar pv","Cement",6775
"utility-scale solar pv","Cement",10512
"utility-scale solar pv","Aluminum",19000
"utility-scale solar pv","Aluminum",10953
"utility-scale solar pv","Copper",2741
"utility-scale solar pv","Lead",336
"utility-scale solar pv","Magnesium",53.5
"utility-scale solar pv","Silicon",3653
"utility-scale solar pv","Silver",24
"utility-scale solar pv","Tin",577
"utility-scale solar pv","Silver",13
"utility-scale solar pv","Silver",15
"utility-scale solar pv","Silver",18
"utility-scale solar pv","Glass",66700
"utility-scale solar pv","Nickel",1
"utility-scale solar pv","Silver",84
"utility-scale solar pv","Silicon",6630
"utility-scale solar pv","Silver",36
"utility-scale solar pv","Silver",19
"utility-scale solar pv","Silver",36
"utility-scale solar pv","Copper",300
"utility-scale solar pv","Nickel",1.1
"utility-scale solar pv","Silicon",3653
"utility-scale solar pv","Silver",19
"utility-scale solar pv","Silver",10
"utility-scale solar pv","Silver",20
"utility-scale solar pv","Silver",80
"utility-scale solar pv","Lead",6
"utility-scale solar pv","Nickel",1.3
"utility-scale solar pv","Silicon",6630
"utility-scale solar pv","Silver",4
"utility-scale solar pv","Silver",47
"utility-scale solar pv","Silver",57
"utility-scale solar pv","Silver",17
"utility-scale solar pv","Copper",250
"utility-scale solar pv","Lead",72
"utility-scale solar pv","Silver",5
"utility-scale solar pv","Silicon",9000
"utility-scale solar pv","Copper",825
"utility-scale solar pv","Copper",458
"utility-scale solar pv","Lead",39
"utility-scale solar pv","Nickel",1
"utility-scale solar pv","Silicon",6428
"utility-scale solar pv","Silver",36
"utility-scale solar pv","Silver",30
"CSP","Steel",240000
"CSP","Steel",4e+05
"CSP","Nickel",940
"CSP","Nickel",1900
"CSP","Manganese ",2000
"CSP","Manganese ",5700
"CSP","Glass",130000
"CSP","Glass",110000
"CSP","Copper",3200
"CSP","Copper",1400
"CSP","Cement",250000
"CSP","Cement",72000
"CSP","Aluminum",0
"CSP","Aluminum",11000
"CSP","Silver",13
"CSP","Silver",16
"Gas","Nickel",8
"Gas","Manganese ",199
"Gas","Copper",471
"Gas","Nickel",11
"Gas","Manganese ",124
"Gas","Copper",500
"Gas","Copper",538
"Gas","Steel",31030
"Gas","Cement",11403
"Gas","Cement",15640
"Gas","Aluminum",204
"Gas","Steel",51130
"Gas","Cement",7350
"Gas","Cement",10080
"Gas","Aluminum",230
"Gas","Nickel",10
"Gas","Manganese ",112
"Gas","Copper",454
"GasCCS","Nickel",8
"GasCCS","Manganese ",199
"GasCCS","Copper",565
"GasCCS","Nickel",10
"GasCCS","Nickel",11
"GasCCS","Manganese ",112
"GasCCS","Manganese ",124
"GasCCS","Copper",600
"GasCCS","Copper",645
"GasCCS","Steel",47476
"GasCCS","Cement",15423
"GasCCS","Cement",23929
"GasCCS","Aluminum",204
"GasCCS","Steel",78229
"GasCCS","Cement",8067
"GasCCS","Cement",17447
"GasCCS","Aluminum",230
"GasCCS","Copper",545
"Geothermal","Steel",147420
"Geothermal","Copper",2518
"Geothermal","Cement",271666
"Geothermal","Aluminum",1448
"Geothermal","Steel",140347
"Geothermal","Copper",597
"Geothermal","Cement",76061
"Geothermal","Aluminum",2386
"Geothermal","Steel",912972
"Geothermal","Cement",196486
"Geothermal","Aluminum",9729
"Geothermal","Steel",295000
"Geothermal","Steel",356000
"Geothermal","Steel",1206000
"Geothermal","Steel",1175000
"Geothermal","Cement",232000
"Geothermal","Cement",87400
"Geothermal","Cement",988000
"Geothermal","Cement",987000
"Geothermal","Aluminum",1600
"Geothermal","Aluminum",45200
"Geothermal","Aluminum",42600
"Geothermal","Steel",124933
"Geothermal","Copper",18885
"Geothermal","Cement",311984
"Geothermal","Aluminum",10198
"Hydro","Copper",1050
"Hydro","Steel",78000
"Hydro","Steel",177000
"Hydro","Copper",2970
"Hydro","Cement",1086216
"Hydro","Cement",594619
"Hydro","Cement",922560
"Hydro","Cement",1685280
"Hydro","Steel",24800
"Hydro","Cement",1223040
"Hydro","Cement",788288
"Hydro","Aluminum",52
"Hydro","Steel",54500
"Hydro","Copper",1502
"Hydro","Cement",1068800
"Hydro","Cement",688875
"Nuclear New","Steel",50400
"Nuclear New","Cement",39590
"Nuclear New","Cement",61420
"Nuclear New","Steel",36068
"Nuclear New","Nickel",484
"Nuclear New","Manganese ",467
"Nuclear New","Copper",726
"Nuclear New","Cement",30133
"Nuclear New","Aluminum",18
"Nuclear New","Silver",1
"Nuclear New","Steel",10000
"Nuclear New","Nickel",49
"Nuclear New","Nickel",100
"Nuclear New","Manganese ",209
"Nuclear New","Manganese ",400
"Nuclear New","Copper",907
"Nuclear New","Copper",2000
"Nuclear New","Cement",19600
"Nuclear New","Cement",30400
"Nuclear New","Aluminum",54
"Nuclear New","Aluminum",45
"Nuclear New","Silver",1
"Nuclear New","Nickel",300
"Nuclear New","Copper",1345
"Nuclear New","Steel",44821
"Nuclear New","Steel",43206
"Nuclear New","Cement",22872
"Nuclear New","Cement",55447
"Nuclear New","Cement",21089
"Nuclear New","Cement",51125
"Nuclear New","Steel",7407
"Nuclear New","Nickel",74
"Nuclear New","Manganese ",296
"Nuclear New","Copper",1481
"Nuclear New","Aluminum",33
"Nuclear New","Silver",1
"Wind Offshore","Aluminum",300
"Wind Offshore","Aluminum",700
"Wind Offshore","Aluminum",3100
"Wind Offshore","Aluminum",5300
"Wind Offshore","Copper",1800
"Wind Offshore","Copper",2000
"Wind Offshore","Copper",4800
"Wind Offshore","Copper",5900
"Wind Offshore","Steel",125000
"Wind Offshore","Steel",156000
"Wind Offshore","Steel",210000
