"model","year","technology","scenario","newval"
"2021","2021","Nuclear Existing","IRA",0
"EPS","2025","Nuclear Existing","IRA",-0.0952500000000001
"EPS","2030","Nuclear Existing","IRA",0
"EPS","2035","Nuclear Existing","IRA",-18.8
"E4ST","2035","Nuclear Existing","IRA",-0.347204412819983
"GCAM","2025","Nuclear Existing","IRA",0.0142271433458738
"GCAM","2030","Nuclear Existing","IRA",-0.180894214518179
"GCAM","2035","Nuclear Existing","IRA",0.543296878959541
"Haiku","2025","Nuclear Existing","IRA",0.385400000000001
"Haiku","2030","Nuclear Existing","IRA",-1.25946
"Haiku","2035","Nuclear Existing","IRA",-3.75854
"IPM-E","2035","Nuclear Existing","IRA",-1.65698
"IPM-N","2025","Nuclear Existing","IRA",-0.863474008749979
"IPM-N","2030","Nuclear Existing","IRA",-1.3888198738
"IPM-N","2035","Nuclear Existing","IRA",-15.1420009192
"MARKAL","2025","Nuclear Existing","IRA",0.355
"MARKAL","2030","Nuclear Existing","IRA",-0.218000000000001
"MARKAL","2035","Nuclear Existing","IRA",0
"NEMS-RHG","2025","Nuclear Existing","IRA",0.1296845
"NEMS-RHG","2030","Nuclear Existing","IRA",-0.177096599999999
"NEMS-RHG","2035","Nuclear Existing","IRA",-14.4216504
"ReEDS","2025","Nuclear Existing","IRA",0.361699999999999
"ReEDS","2030","Nuclear Existing","IRA",-0.447999999999999
"ReEDS","2035","Nuclear Existing","IRA",-0.153999999999999
"REGEN","2025","Nuclear Existing","IRA",-0.692608250000003
"REGEN","2030","Nuclear Existing","IRA",0
"REGEN","2035","Nuclear Existing","IRA",0
"RIO","2025","Nuclear Existing","IRA",0.125
"RIO","2030","Nuclear Existing","IRA",-0.2
"RIO","2035","Nuclear Existing","IRA",-0.2
"2021","2021","Nuclear New","IRA",0
"EPS","2025","Nuclear New","IRA",0.75
"EPS","2030","Nuclear New","IRA",0.2
"EPS","2035","Nuclear New","IRA",0
"E4ST","2035","Nuclear New","IRA",1.180728572632e-06
"GCAM","2025","Nuclear New","IRA",0
"GCAM","2030","Nuclear New","IRA",0
"GCAM","2035","Nuclear New","IRA",0
"Haiku","2025","Nuclear New","IRA",0
"Haiku","2030","Nuclear New","IRA",0
"Haiku","2035","Nuclear New","IRA",0
"IPM-E","2035","Nuclear New","IRA",0
"IPM-N","2025","Nuclear New","IRA",0
"IPM-N","2030","Nuclear New","IRA",0
"IPM-N","2035","Nuclear New","IRA",0
"MARKAL","2025","Nuclear New","IRA",0
"MARKAL","2030","Nuclear New","IRA",0
"MARKAL","2035","Nuclear New","IRA",0
"NEMS-RHG","2025","Nuclear New","IRA",0
"NEMS-RHG","2030","Nuclear New","IRA",0
"NEMS-RHG","2035","Nuclear New","IRA",0
"ReEDS","2025","Nuclear New","IRA",0
"ReEDS","2030","Nuclear New","IRA",0
"ReEDS","2035","Nuclear New","IRA",0
"REGEN","2025","Nuclear New","IRA",0.908749998922595
"REGEN","2030","Nuclear New","IRA",-4.35984937041667e-10
"REGEN","2035","Nuclear New","IRA",-9.59762047614277e-11
"RIO","2025","Nuclear New","IRA",0
"RIO","2030","Nuclear New","IRA",0.2
"RIO","2035","Nuclear New","IRA",0
"2021","2021","Hydro","IRA",0
"EPS","2025","Hydro","IRA",-0.0447500000000005
"EPS","2030","Hydro","IRA",-0.126599999999999
"EPS","2035","Hydro","IRA",-0.103999999999999
"E4ST","2035","Hydro","IRA",0
"GCAM","2025","Hydro","IRA",7.16693516121675
"GCAM","2030","Hydro","IRA",-0.0130759216185993
"GCAM","2035","Hydro","IRA",-0.537391327574599
"Haiku","2025","Hydro","IRA",-0.23228525
"Haiku","2030","Hydro","IRA",0.000799999999998136
"Haiku","2035","Hydro","IRA",0
"IPM-E","2035","Hydro","IRA",0.862499999800002
"IPM-N","2025","Hydro","IRA",5.89714505725
"IPM-N","2030","Hydro","IRA",0.709521354199998
"IPM-N","2035","Hydro","IRA",-0.000279999999997926
"MARKAL","2025","Hydro","IRA",-0.295000000000002
"MARKAL","2030","Hydro","IRA",0
"MARKAL","2035","Hydro","IRA",0
"NEMS-RHG","2025","Hydro","IRA",-0.172378500000001
"NEMS-RHG","2030","Hydro","IRA",0.000288399999999456
"NEMS-RHG","2035","Hydro","IRA",0
"ReEDS","2025","Hydro","IRA",0.77110025
"ReEDS","2030","Hydro","IRA",0.27191018
"ReEDS","2035","Hydro","IRA",0.11739
"REGEN","2025","Hydro","IRA",0.159978994458129
"REGEN","2030","Hydro","IRA",0
"REGEN","2035","Hydro","IRA",0
"RIO","2025","Hydro","IRA",1
"RIO","2030","Hydro","IRA",0.2
"RIO","2035","Hydro","IRA",0
"2021","2021","Bio/Other","IRA",0
"EPS","2025","Bio/Other","IRA",-11.74275
"EPS","2030","Bio/Other","IRA",-0.0036
"EPS","2035","Bio/Other","IRA",0
"E4ST","2035","Bio/Other","IRA",0
"GCAM","2025","Bio/Other","IRA",-7.30647593016232
"GCAM","2030","Bio/Other","IRA",-0.00566092906594022
"GCAM","2035","Bio/Other","IRA",-0.26270108669594
"Haiku","2025","Bio/Other","IRA",-8.909455
"Haiku","2030","Bio/Other","IRA",0
"Haiku","2035","Bio/Other","IRA",0
"IPM-E","2035","Bio/Other","IRA",0
"IPM-N","2025","Bio/Other","IRA",-10.260223
"IPM-N","2030","Bio/Other","IRA",-0.0016
"IPM-N","2035","Bio/Other","IRA",0.000220000000000198
"MARKAL","2025","Bio/Other","IRA",-9.4275
"MARKAL","2030","Bio/Other","IRA",0
"MARKAL","2035","Bio/Other","IRA",0
"NEMS-RHG","2025","Bio/Other","IRA",-9.45320025
"NEMS-RHG","2030","Bio/Other","IRA",0.2843224
"NEMS-RHG","2035","Bio/Other","IRA",0.2536436
"ReEDS","2025","Bio/Other","IRA",-10.152825
"ReEDS","2030","Bio/Other","IRA",-0.10622
"ReEDS","2035","Bio/Other","IRA",-0.16642
"REGEN","2025","Bio/Other","IRA",-10.0658603081222
"REGEN","2030","Bio/Other","IRA",0.0149593455248779
"REGEN","2035","Bio/Other","IRA",-0.00272991838915182
"RIO","2025","Bio/Other","IRA",-9.625
"RIO","2030","Bio/Other","IRA",-0.1
"RIO","2035","Bio/Other","IRA",-0.4
"2021","2021","Bio CCS","IRA",0
"EPS","2025","Bio CCS","IRA",0
"EPS","2030","Bio CCS","IRA",0
"EPS","2035","Bio CCS","IRA",0
"E4ST","2035","Bio CCS","IRA",0
"GCAM","2025","Bio CCS","IRA",0
"GCAM","2030","Bio CCS","IRA",0
"GCAM","2035","Bio CCS","IRA",0
"Haiku","2025","Bio CCS","IRA",0
"Haiku","2030","Bio CCS","IRA",0
"Haiku","2035","Bio CCS","IRA",0
"IPM-E","2035","Bio CCS","IRA",0
"IPM-N","2025","Bio CCS","IRA",0
"IPM-N","2030","Bio CCS","IRA",0
"IPM-N","2035","Bio CCS","IRA",0
"MARKAL","2025","Bio CCS","IRA",0
"MARKAL","2030","Bio CCS","IRA",0
"MARKAL","2035","Bio CCS","IRA",0
"NEMS-RHG","2025","Bio CCS","IRA",0
"NEMS-RHG","2030","Bio CCS","IRA",0
"NEMS-RHG","2035","Bio CCS","IRA",0
"ReEDS","2025","Bio CCS","IRA",0
"ReEDS","2030","Bio CCS","IRA",0
"ReEDS","2035","Bio CCS","IRA",0
"REGEN","2025","Bio CCS","IRA",0.00275567285192286
"REGEN","2030","Bio CCS","IRA",0.160555256901668
"REGEN","2035","Bio CCS","IRA",3.1035867209539e-10
"RIO","2025","Bio CCS","IRA",0
"RIO","2030","Bio CCS","IRA",0
"RIO","2035","Bio CCS","IRA",0
"2021","2021","Coal","IRA",0
"EPS","2025","Coal","IRA",-15.6855
"EPS","2030","Coal","IRA",-17.6736
"EPS","2035","Coal","IRA",-10.3096
"E4ST","2035","Coal","IRA",-0.19662325630355
"GCAM","2025","Coal","IRA",-14.9199873971852
"GCAM","2030","Coal","IRA",-16.7507865356551
"GCAM","2035","Coal","IRA",-13.2329628110996
"Haiku","2025","Coal","IRA",-11.5320693681715
"Haiku","2030","Coal","IRA",-6.14338286413075
"Haiku","2035","Coal","IRA",-1.3388230157243
"IPM-E","2035","Coal","IRA",-5.25695349414745
"IPM-N","2025","Coal","IRA",-25.8596577273195
"IPM-N","2030","Coal","IRA",-8.57735753209348
"IPM-N","2035","Coal","IRA",-1.8178962584
"MARKAL","2025","Coal","IRA",-19.095
"MARKAL","2030","Coal","IRA",-7.504
"MARKAL","2035","Coal","IRA",-7.49599999999999
"NEMS-RHG","2025","Coal","IRA",-19.7128205
"NEMS-RHG","2030","Coal","IRA",-11.3658828
"NEMS-RHG","2035","Coal","IRA",-2.5003602
"ReEDS","2025","Coal","IRA",-6.848563192154
"ReEDS","2030","Coal","IRA",-15.150183692879
"ReEDS","2035","Coal","IRA",-1.43835284071846
"REGEN","2025","Coal","IRA",-15.0054412563198
"REGEN","2030","Coal","IRA",-13.9237768222656
"REGEN","2035","Coal","IRA",-10.5686168246509
"RIO","2025","Coal","IRA",-9.4
"RIO","2030","Coal","IRA",-12.8
"RIO","2035","Coal","IRA",-6.2
"2021","2021","Coal CCS","IRA",0
"EPS","2025","Coal CCS","IRA",0
"EPS","2030","Coal CCS","IRA",0
"EPS","2035","Coal CCS","IRA",0
"E4ST","2035","Coal CCS","IRA",0.0968702312702391
"GCAM","2025","Coal CCS","IRA",0
"GCAM","2030","Coal CCS","IRA",0
"GCAM","2035","Coal CCS","IRA",0
"Haiku","2025","Coal CCS","IRA",0
"Haiku","2030","Coal CCS","IRA",0.155644859933099
"Haiku","2035","Coal CCS","IRA",0.0252504353536785
"IPM-E","2035","Coal CCS","IRA",0.270273209799999
"IPM-N","2025","Coal CCS","IRA",1.5
"IPM-N","2030","Coal CCS","IRA",2.7334845772
"IPM-N","2035","Coal CCS","IRA",0
"MARKAL","2025","Coal CCS","IRA",0
"MARKAL","2030","Coal CCS","IRA",3.236
"MARKAL","2035","Coal CCS","IRA",25.624
"NEMS-RHG","2025","Coal CCS","IRA",0
"NEMS-RHG","2030","Coal CCS","IRA",0
"NEMS-RHG","2035","Coal CCS","IRA",0
"ReEDS","2025","Coal CCS","IRA",0
"ReEDS","2030","Coal CCS","IRA",7.61373215854114
"ReEDS","2035","Coal CCS","IRA",0.58481600367798
"REGEN","2025","Coal CCS","IRA",2.05555658698097
"REGEN","2030","Coal CCS","IRA",4.02072994583455
"REGEN","2035","Coal CCS","IRA",8.10854906774239e-08
"RIO","2025","Coal CCS","IRA",0
"RIO","2030","Coal CCS","IRA",0
"RIO","2035","Coal CCS","IRA",0
"2021","2021","NGCC","IRA",0
"EPS","2025","NGCC","IRA",-2.0485
"EPS","2030","NGCC","IRA",-14.1024
"EPS","2035","NGCC","IRA",-15.3816
"E4ST","2035","NGCC","IRA",-2.58164790489402
"GCAM","2025","NGCC","IRA",21.9625355316586
"GCAM","2030","NGCC","IRA",-9.07190014007788
"GCAM","2035","NGCC","IRA",-2.86362957943227
"Haiku","2025","NGCC","IRA",22.2355444965405
"Haiku","2030","NGCC","IRA",-1.52545027421556
"Haiku","2035","NGCC","IRA",-1.42746141492069
"IPM-E","2035","NGCC","IRA",-0.735316772800604
"IPM-N","2025","NGCC","IRA",5.56509403299992
"IPM-N","2030","NGCC","IRA",1.2848750614
"IPM-N","2035","NGCC","IRA",0.854571212799999
"MARKAL","2025","NGCC","IRA",41.1125
"MARKAL","2030","NGCC","IRA",-10.656
"MARKAL","2035","NGCC","IRA",-13.152
"NEMS-RHG","2025","NGCC","IRA",6.59346725
"NEMS-RHG","2030","NGCC","IRA",5.821422
"NEMS-RHG","2035","NGCC","IRA",4.13149539999999
"ReEDS","2025","NGCC","IRA",2.5458650860585
"ReEDS","2030","NGCC","IRA",-0.302899727653801
"ReEDS","2035","NGCC","IRA",-0.441073160594408
"REGEN","2025","NGCC","IRA",-1.2363428129445
"REGEN","2030","NGCC","IRA",1.38364342017991
"REGEN","2035","NGCC","IRA",-1.90916742048322
"RIO","2025","NGCC","IRA",8.09999999999999
"RIO","2030","NGCC","IRA",4.5
"RIO","2035","NGCC","IRA",-3.8
"2021","2021","NGCC CCS","IRA",0
"EPS","2025","NGCC CCS","IRA",0
"EPS","2030","NGCC CCS","IRA",0
"EPS","2035","NGCC CCS","IRA",0
"E4ST","2035","NGCC CCS","IRA",6.44182692851864e-05
"GCAM","2025","NGCC CCS","IRA",8.18306028915367
"GCAM","2030","NGCC CCS","IRA",6.27117088908818
"GCAM","2035","NGCC CCS","IRA",0.21243166282074
"Haiku","2025","NGCC CCS","IRA",0
"Haiku","2030","NGCC CCS","IRA",0
"Haiku","2035","NGCC CCS","IRA",0
"IPM-E","2035","NGCC CCS","IRA",0.742611759
"IPM-N","2025","NGCC CCS","IRA",0
"IPM-N","2030","NGCC CCS","IRA",0
"IPM-N","2035","NGCC CCS","IRA",0
"MARKAL","2025","NGCC CCS","IRA",0
"MARKAL","2030","NGCC CCS","IRA",1.986
"MARKAL","2035","NGCC CCS","IRA",0
"NEMS-RHG","2025","NGCC CCS","IRA",0
"NEMS-RHG","2030","NGCC CCS","IRA",0
"NEMS-RHG","2035","NGCC CCS","IRA",0
"ReEDS","2025","NGCC CCS","IRA",0
"ReEDS","2030","NGCC CCS","IRA",0
"ReEDS","2035","NGCC CCS","IRA",0
"REGEN","2025","NGCC CCS","IRA",0.0221444551049644
"REGEN","2030","NGCC CCS","IRA",5.32476780876201e-07
"REGEN","2035","NGCC CCS","IRA",7.60560362439433e-08
"RIO","2025","NGCC CCS","IRA",0.125
"RIO","2030","NGCC CCS","IRA",0.1
"RIO","2035","NGCC CCS","IRA",0
"2021","2021","NGGT","IRA",0
"EPS","2025","NGGT","IRA",-7.67525
"EPS","2030","NGGT","IRA",7.68
"EPS","2035","NGGT","IRA",26.7
"E4ST","2035","NGGT","IRA",-0.267407521364171
"GCAM","2025","NGGT","IRA",-8.7097051143866
"GCAM","2030","NGGT","IRA",-4.36795191929676
"GCAM","2035","NGGT","IRA",-1.37878461231924
"Haiku","2025","NGGT","IRA",-19.330362842768
"Haiku","2030","NGGT","IRA",0.260240000000005
"Haiku","2035","NGGT","IRA",0.153980000000001
"IPM-E","2035","NGGT","IRA",1.5265750218
"IPM-N","2025","NGGT","IRA",-0.807203152
"IPM-N","2030","NGGT","IRA",-1.027943246
"IPM-N","2035","NGGT","IRA",0.574514379599998
"MARKAL","2025","NGGT","IRA",-53
"MARKAL","2030","NGGT","IRA",0
"MARKAL","2035","NGGT","IRA",0
"NEMS-RHG","2025","NGGT","IRA",9.796813
"NEMS-RHG","2030","NGGT","IRA",12.1828578
"NEMS-RHG","2035","NGGT","IRA",11.0092214
"ReEDS","2025","NGGT","IRA",-23.2150518648617
"ReEDS","2030","NGGT","IRA",-1.0863782260856
"ReEDS","2035","NGGT","IRA",0.549115368086601
"REGEN","2025","NGGT","IRA",-4.81929172819466
"REGEN","2030","NGGT","IRA",-0.967095758938962
"REGEN","2035","NGGT","IRA",-2.1868409731449
"RIO","2025","NGGT","IRA",-17.375
"RIO","2030","NGGT","IRA",-0.3
"RIO","2035","NGGT","IRA",-0.4
"2021","2021","Hydrogen Blue","IRA",0
"EPS","2025","Hydrogen Blue","IRA",0
"EPS","2030","Hydrogen Blue","IRA",0
"EPS","2035","Hydrogen Blue","IRA",0
"E4ST","2035","Hydrogen Blue","IRA",0
"GCAM","2025","Hydrogen Blue","IRA",0
"GCAM","2030","Hydrogen Blue","IRA",0
"GCAM","2035","Hydrogen Blue","IRA",0
"Haiku","2025","Hydrogen Blue","IRA",0
"Haiku","2030","Hydrogen Blue","IRA",0
"Haiku","2035","Hydrogen Blue","IRA",0
"IPM-E","2035","Hydrogen Blue","IRA",0
"IPM-N","2025","Hydrogen Blue","IRA",0
"IPM-N","2030","Hydrogen Blue","IRA",0
"IPM-N","2035","Hydrogen Blue","IRA",0
"MARKAL","2025","Hydrogen Blue","IRA",0
"MARKAL","2030","Hydrogen Blue","IRA",0
"MARKAL","2035","Hydrogen Blue","IRA",0
"NEMS-RHG","2025","Hydrogen Blue","IRA",0
"NEMS-RHG","2030","Hydrogen Blue","IRA",0
"NEMS-RHG","2035","Hydrogen Blue","IRA",0
"ReEDS","2025","Hydrogen Blue","IRA",0
"ReEDS","2030","Hydrogen Blue","IRA",0
"ReEDS","2035","Hydrogen Blue","IRA",0
"REGEN","2025","Hydrogen Blue","IRA",0
"REGEN","2030","Hydrogen Blue","IRA",0
"REGEN","2035","Hydrogen Blue","IRA",0
"RIO","2025","Hydrogen Blue","IRA",0
"RIO","2030","Hydrogen Blue","IRA",0
"RIO","2035","Hydrogen Blue","IRA",0
"2021","2021","onshore wind","IRA",0
"EPS","2025","onshore wind","IRA",17.0145
"EPS","2030","onshore wind","IRA",45.256
"EPS","2035","onshore wind","IRA",52.902
"E4ST","2035","onshore wind","IRA",12.2022907563741
"GCAM","2025","onshore wind","IRA",34.4058
"GCAM","2030","onshore wind","IRA",28.24622
"GCAM","2035","onshore wind","IRA",9.54766
"Haiku","2025","onshore wind","IRA",32.9007845047318
"Haiku","2030","onshore wind","IRA",18.5333651523734
"Haiku","2035","onshore wind","IRA",11.1828335466804
"IPM-E","2035","onshore wind","IRA",32.4512832182
"IPM-N","2025","onshore wind","IRA",-0.987976409750004
"IPM-N","2030","onshore wind","IRA",16.9692737274
"IPM-N","2035","onshore wind","IRA",22.7148000002
"MARKAL","2025","onshore wind","IRA",2.46
"MARKAL","2030","onshore wind","IRA",0
"MARKAL","2035","onshore wind","IRA",0
"NEMS-RHG","2025","onshore wind","IRA",3.4318635
"NEMS-RHG","2030","onshore wind","IRA",42.953723
"NEMS-RHG","2035","onshore wind","IRA",14.9143124
"ReEDS","2025","onshore wind","IRA",10.886376621417
"ReEDS","2030","onshore wind","IRA",29.263421571605
"ReEDS","2035","onshore wind","IRA",17.3830609584772
"REGEN","2025","onshore wind","IRA",0.169133364025832
"REGEN","2030","onshore wind","IRA",3.81108235171417
"REGEN","2035","onshore wind","IRA",31.1390000157776
"RIO","2025","onshore wind","IRA",11.125
"RIO","2030","onshore wind","IRA",47.1
"RIO","2035","onshore wind","IRA",37.4
"2021","2021","Solar Utility","IRA",0
"EPS","2025","Solar Utility","IRA",27.06725
"EPS","2030","Solar Utility","IRA",50.0064
"EPS","2035","Solar Utility","IRA",49.1664
"E4ST","2035","Solar Utility","IRA",16.0823916293537
"GCAM","2025","Solar Utility","IRA",45.1647003140743
"GCAM","2030","Solar Utility","IRA",47.6982856860964
"GCAM","2035","Solar Utility","IRA",29.6563739081907
"Haiku","2025","Solar Utility","IRA",47.476152129817
"Haiku","2030","Solar Utility","IRA",34.4876662322179
"Haiku","2035","Solar Utility","IRA",14.1536570965278
"IPM-E","2035","Solar Utility","IRA",20.3869727112
"IPM-N","2025","Solar Utility","IRA",16.4727391156475
"IPM-N","2030","Solar Utility","IRA",7.0039242932
